p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,installed_energy_storage_energy_capacity_mwhac,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_7
,,42590,Maintenance,Maintenance Hydroelectric,Lyons Falls Hydro,Tier 2 - Maintenance,,"Northbrook Lyons Falls, LLC","Kruger Energy, Inc",,Lewis,Completed,3,13368,NY,42590,,2023-01-20T00:00:00.000,8.59,POINT (-75.36537 43.61971),,,,,2019,North Country,Mohawk Valley,,,,,23570,,
,,,Maintenance,Maintenance Hydroelectric,Long Falls - Ampersand,Tier 2 - Maintenance,,Ampersand Long Falls Hydro LLC,Ampersand,,Jefferson,Under Development,3,13619,NY,8006,,2023-01-20T00:00:00.000,0.33,POINT (-75.60618 43.98008),,,,,,North Country,Mohawk Valley,,,,,,,
,,1681,Maintenance,Maintenance Hydroelectric,Kayuta Lake Hydro _July 2021 Award,Tier 2 - Maintenance,,Ampersand Kayuta Lake Hydro LLC,Ampersand,,Oneida,Operational,3,13338,NY,1681,,2023-01-20T00:00:00.000,0.46,POINT (-75.20483 43.44104),,,,,2022,Mohawk Valley,Mohawk Valley,,,,,,,
,,1897,Maintenance,Maintenance Hydroelectric,Kayuta Lake Hydro,Tier 2 - Maintenance,,Ampersand Kayuta Lake Hydro LLC,Ampersand Hydro,,Oneida,Completed,3,13338,NY,1897,,2023-01-20T00:00:00.000,0.46,POINT (-75.20483 43.44104),,,,,2018,Mohawk Valley,Mohawk Valley,,,,,,,
,,625,Maintenance,Maintenance Hydroelectric,Finger Lakes,Tier 2 - Maintenance,,Finger Lakes Energy Corporation,Finger Lakes Energy Corporation,,Tompkins,Completed,3,14850,NY,625,,2023-01-20T00:00:00.000,0.15,POINT (-76.49546 42.44051),,,,,2019,Southern Tier,Central,,,,,,,
,,2500,Maintenance,Maintenance Hydroelectric,Azure Mountain,RPS Maintenance,,Azure Mountain Power Company,Azure Mountain Power Company,,Franklin,Operational,10,12980,NY,2500,,2023-01-20T00:00:00.000,0.8,POINT (-74.54633 44.67299),,,,,2013,North Country,Mohawk Valley,,,,,,,
,,,Tier 4,https://www.cleanpathny.com/,Clean Path NY (CPNY),T4RFP21-1,,Clean Path New York LLC,Forward Power (a joint venture of Invenergy and energyRe) and the New York Power Authority,,,Under Development,25,,,,,2023-01-20T00:00:00.000,,,,,1168,,2027,,,,,,1300,,,
,,,Tier 4,https://chpexpress.com/,Champlain Hudson Power Express (CHPE),T4RFP21-1,,H.Q. Energy Services (U.S.) Inc.,"Transmission Developers, Inc. (backed by Blackstone) and Hydro-Qu�bec",,,Under Development,25,,,,,2023-01-20T00:00:00.000,,,,,,,2026,,,,,,1250,,,
4419800,,,OREC,Offshore Wind,Sunrise Wind,ORECRFP18-1,New,,Orsted A/S and Eversource Energy,,,Under Development,25,,,,924,2023-01-20T00:00:00.000,924,,,,,,2026,,,,,,,,https://www.permits.performance.gov/permitting-project/sunrise-wind-farm,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-T-0617
5765100,,,OREC,Offshore Wind,Empire Wind 2,ORECRFP20-1,New,,Equinor Wind US LLC,,,Under Development,25,,,,1260,2023-01-20T00:00:00.000,1260,,,,,,2027,,,,,,,,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-T-0346&CaseSearch=Search
4550000,,,OREC,Offshore Wind,Empire Wind,ORECRFP18-1,New,,Equinor Wind US LLC,,,Under Development,25,,,,816,2023-01-20T00:00:00.000,816,,,,,,2026,,,,,,,,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=65825&MNO=21-T-0366
6018100,,,OREC,Offshore Wind,Beacon Wind,ORECRFP20-1,New,,Equinor Wind US LLC,,,Under Development,25,,,,1230,2023-01-20T00:00:00.000,1230,,,,,,2028,,,,,,,,,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=68175
,,1851,Maintenance,Maintenance Hydroelectric,Black Brook Hydro_October 2021 Award,Tier 2 - Maintenance,,"Oakvale Construction Co., LTD.","Oakvale Construction Co., LTD.",,Clinton,Operational,3,12912,NY,1851,,2023-01-20T00:00:00.000,0.64,POINT (-73.67684 44.44009),,,,,2021,North Country,North,,,,,,,
,,111164,Tier 1,Solar,Shepherd's Run Solar,RESRFP17-1,New,Hecate Energy Columbia County 1 LLC,Hecate Energy,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02553,Columbia,Under Development,20,12521,NY,133396,60,2023-01-20T00:00:00.000,60,POINT (-73.62149 42.15723),ORES,,,,2025,Capital Region,Capital,70.01,644,,,,,
,,449651,Tier 1,Land Based Wind,Prattsburgh Wind Farm,RESRFP19-1,New,"Prattsburgh Wind, LLC",Terra-Gen,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00749,Steuben,Under Development,20,14873,NY,539581,145,2023-01-20T00:00:00.000,145,POINT (-77.28905 42.52343),ORES,,,,2025,Southern Tier,Central,71.59,801,,,,,
,,381936,Tier 1,Solar,Orleans Solar,RESRFP20-1,New,Orleans Solar LLC,Community Energy,,Orleans,Cancelled,20,14103,NY,458323,200,2023-01-20T00:00:00.000,200,POINT (-78.38691 43.22012),ORES,,,,2024,Finger Lakes,Genesee,,950,,,,,
,,278500,Tier 1,Land Based Wind,Number Three Wind Farm,3257,New,Number Three Wind LLC,Invenergy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0328,Lewis,Under Development,20,13367,NY,334200,103.9,2023-01-20T00:00:00.000,105.8,POINT (-75.49047 43.78695),Article 10,,,,2023,North Country,Mohawk Valley,74.96,531,,,,,
,,43603,Tier 1,Solar,Highbanks Solar,RESRFP20-1,New,Highbanks Solar LLC,Oriden Power,,Livingston,Cancelled,20,14510,NY,52323,19.99,2023-01-20T00:00:00.000,19.99,POINT (-77.8741 42.72573),SEQR,,,,2025,Finger Lakes,Central,41.77,863,,,,,
,,308737,Tier 1,Land Based Wind,High Bridge Wind and Battery,RESRFP18-1,New,"High Bridge Wind, LLC",Northland Power,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=18-f-0262,Chenango,Under Development,20,13780,NY,370484,99,2023-01-20T00:00:00.000,99,POINT (-75.47306 42.42149),Article 10,20,5,,2026,Southern Tier,Mohawk Valley,67.27,706,,,,,
,,393100,Tier 1,Land Based Wind,"Heritage Wind, LLC",RESRFP18-1,New,Heritage Wind LLC,Apex Clean Energy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00026,Orleans,Under Development,20,14411,NY,471720,147,2023-01-20T00:00:00.000,147,POINT (-78.19375 43.24607),ORES,,,,2025,Finger Lakes,Genesee,67.01,571,,,,,
,26.91,85699,Tier 1,Solar,Hecate Energy Greene County 1,3257,New,Hecate Energy New York LLC,Hecate Energy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0617,Greene,Cancelled,20,12051,NY,85699,49.99,2023-01-20T00:00:00.000,47.49,POINT (-73.80015 42.34806),Article 10,,,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,2022,Capital Region,Hudson Valley,,570,,,,,
,,40626,Tier 1,Solar,Hatchery Solar,RESRFP20-1,New,Hatchery Solar LLC,Oriden Power,,Livingston,Cancelled,20,14423,NY,48751,19.99,2023-01-20T00:00:00.000,19.99,POINT (-77.8533 42.97389),SEQR,,,,2025,Finger Lakes,Central,43.64,932,,,,,
,22,10342,Tier 1,Solar,Hannacroix Solar Facility,RESRFP18-1,New,Hannacroix Solar Facility LLC,Teichos Energy,,Greene,Cancelled,20,12087,NY,12410,4.99,2023-01-20T00:00:00.000,4.99,POINT (-73.8846 42.4361),SEQR,,,,2022,Capital Region,Hudson Valley,,"8,360",,,,,
,,26149,Tier 1,Solar,Greene County Energy Properties,RESRFP17-1,New,"Greene County Energy Properties, LLC",Green County Energy Partners,,Greene,Under Development,20,12042,NY,31378,19.9,2023-01-20T00:00:00.000,19.9,POINT (-73.8587 42.37065),SEQR,,,,2024,Capital Region,Hudson Valley,91.09,577,,,,,
,,18042,Tier 1,Solar,Greene County 2,3257,New,Hecate Energy Greene 2 LLC,Hecate Energy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,Greene,Under Development,20,12051,NY,21650,10,2023-01-20T00:00:00.000,10,POINT (-73.80015 42.34806),Article 10,,,,2024,Capital Region,Hudson Valley,88.04,570,,,,,
,,36084,Tier 1,Solar,Greene County 1,3257,New,Hecate Energy Greene 1 LLC,Hecate Energy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0619,Greene,Under Development,20,12051,NY,43300,20,2023-01-20T00:00:00.000,20,POINT (-73.80015 42.34806),Article 10,,,,2024,Capital Region,Hudson Valley,88.04,570,,,,,
,,31052,Tier 1,Solar,Great Gully Solar Farm (formerly Delight Farm),RESRFP20-1,New,"Great Gully Solar Farm, LLC",AES Distributed Energy,,Cayuga,Cancelled,20,13160,NY,37262,16.8,2023-01-20T00:00:00.000,16.8,POINT (-76.69542 42.83245),SEQR,,,,2022,Central New York,Central,,"1,060",,,,,
,,313825,Tier 1,Land Based Wind,Eight Point Wind,3257,New,Eight Point Wind LLC,NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0062,Steuben,Under Development,20,14877,NY,376590,101.2,2023-01-20T00:00:00.000,101.2,POINT (-77.66125 42.08494),Article 10,,,,2023,Southern Tier,Central,70.8,422,,,,,
,,36084,Tier 1,Solar,Coeymans Solar,3257,New,Hecate Energy Albany 1 LLC,Hecate Energy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0617,Albany,Under Development,20,12158,NY,43300,20,2023-01-20T00:00:00.000,20,POINT (-73.79876 42.53269),Article 10,,,,2023,Capital Region,Capital,75.82,570,,,,,
,,40822,Tier 1,Solar,Clear View Solar,RESRFP20-1,New,Clear View Solar LLC,Oriden Power,,Steuben,Cancelled,20,14808,NY,48986,20,2023-01-20T00:00:00.000,19.99,POINT (-77.47228 42.55434),SEQR,,,,2025,Southern Tier,Central,43.23,"1,003",,,,,
,,928560,Tier 1,Solar,Cider Solar Farm,RESRFP20-1,New,Hecate Energy Cider Solar LLC,Hecate Energy,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01108,Genesee,Under Development,20,14058,NY,1114272,500,2023-01-20T00:00:00.000,500,POINT (-78.18627 43.0822),ORES,,,,2024,Finger Lakes,West,52.4,811,,,,,
,,392644,Tier 1,Land Based Wind,Bluestone Wind,RESRFP17-1,New,"Bluestone Wind, LLC",Northland Power,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0559,Broome,Under Development,20,13865,NY,471172,121.8,2023-01-20T00:00:00.000,121.8,POINT (-75.64093 42.07398),Article 10,6.2,6.2,,2023,Southern Tier,Mohawk Valley,67.72,579,,,,,
,,272706,Tier 1,Land Based Wind,Baron Winds II,RESRFP17-1,New,Baron Winds II LLC,RWE,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,Steuben,Under Development,20,14826,NY,327247,112.5,2023-01-20T00:00:00.000,112.5,POINT (-77.51062 42.50697),Article 10,,,,2025,Southern Tier,Central,69.62,396,,,,,
,,354417,Tier 1,Land Based Wind,Baron Winds I,RESRFP17-1,New,Baron Winds LLC,RWE,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,Steuben,Under Development,20,14826,NY,425300,121.8,2023-01-20T00:00:00.000,121.8,POINT (-77.51062 42.50697),Article 10,,,,2023,Southern Tier,Central,69.62,396,,,,,
,22.75,748174,Tier 1,Land Based Wind,Baron Winds,RESRFP17-1,New,Baron Winds LLC,RWE,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,Steuben,Cancelled,20,14826,NY,897808,272,2023-01-20T00:00:00.000,272,POINT (-77.51062 42.50697),Article 10,,,,2022,Southern Tier,Central,,396,,,,,
,,269877,Tier 1,Land Based Wind,Ball Hill,3084,New,"Ball Hill Wind Energy, LLC",Northland Power,,Chautauqua,Under Development,20,14136,NY,323852,100,2023-01-20T00:00:00.000,100,POINT (-79.16578 42.54408),SEQR,,,,2023,Western New York,West,69.55,505,,,,,
,,977474,Tier 1,Land Based Wind,Alle-Catt Wind Farm,RESRFP17-1,New,Alle-Catt Wind Energy LLC,Invenergy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0282,Cattaraugus,Under Development,20,14009,NY,1172968,339.78,2023-01-20T00:00:00.000,339.78,POINT (-78.42825 42.53383),Article 10,,,,2025,Western New York,West,65.62,596,,,,,
,,183960,Tier 1,Solar,Alfred Oaks Solar,RESRFP21-1,New,"Alfred Oaks Solar, LLC",Northland Power,https://orespermits.ny.gov/Public/MatterManagement/CaseMaster.aspx?MatterSeq=64954&MNO=22-00030,Allegany,Under Development,20,14806,NY,220752,100,2023-01-20T00:00:00.000,100,POINT (-77.79301 42.16039),ORES,40,20,,2025,Western New York,Central,,"1,096",,,,,
,,258508,Tier 1,Solar,Alabama Solar Park,RESRFP20-1,New,"Alabama Solar Park, LLC",EDPR,,Genesee,Cancelled,20,14125,NY,310209,130,2023-01-20T00:00:00.000,130,POINT (-78.27071 43.06599),ORES,80,20,,2024,Finger Lakes,Genesee,,995,,,,,
,15.25,314572,Non-Tier 1,Land Based Wind,Wethersfield,1168,,,,,Wyoming,Completed,10,14066,NY,314572,126,2023-01-20T00:00:00.000,119.7,POINT (-78.13413 42.64198),,,,,2009,Finger Lakes,Genesee,,,,,323626,,
,22.95,526800,Non-Tier 1,Land Based Wind,Maple Ridge,916,,,,,Lewis,Completed,10,13367,NY,605820,321,2023-01-20T00:00:00.000,,POINT (-75.49047 43.78695),,,,,2006,North Country,Mohawk Valley,,,,,,,
,14.85,159410,Non-Tier 1,Land Based Wind,Ellenburg,1037,,,,,Clinton,Completed,10,12923,NY,167381,81,2023-01-20T00:00:00.000,77,POINT (-73.9322 44.95524),,,,,2008,North Country,North,,,,,,,
,16.5,28200,Non-Tier 1,Land Based Wind,Dutch Hill*,1168,,,,,Steuben,Completed,10,14826,NY,28200,,2023-01-20T00:00:00.000,11.3,POINT (-77.51062 42.50697),,,,,2009,Southern Tier,Central,,,,,323617,,
,13.86,8513,Non-Tier 1,Land Based Wind,Dutch Hill,1037,,,,,Steuben,Completed,10,14826,NY,8513,37.5,2023-01-20T00:00:00.000,4.3,POINT (-77.51062 42.50697),,,,,2009,Southern Tier,Central,,,,,,,
,16.5,65700,Non-Tier 1,Land Based Wind,Cohocton*,1168,,,,,Steuben,Completed,10,14826,NY,65700,,2023-01-20T00:00:00.000,26.3,POINT (-77.51062 42.50697),,,,,2009,Southern Tier,Central,,,,,,,
,19.94,21247,Non-Tier 1,Land Based Wind,Cohocton,1037,,,,,Steuben,Completed,10,14826,NY,23372,87.5,2023-01-20T00:00:00.000,8.3,POINT (-77.51062 42.50697),,,,,2009,Southern Tier,Central,,,,,,,
,33,27463,Non-Tier 1,Land Based Wind,Cody Road,2554,New,,,,Madison,Cancelled,10,13035,NY,27463,10,2023-01-20T00:00:00.000,9.5,POINT (-75.84845 42.9296),,,,,,Central New York,Central,,,,,,,
,14.85,172140,Non-Tier 1,Land Based Wind,Clinton Wind,1037,,,,,Clinton,Completed,10,12962,NY,180747,100.5,2023-01-20T00:00:00.000,95.5,POINT (-73.56636 44.69294),,,,,2008,North Country,North,,,,,,,
,17.75,204817,Non-Tier 1,Land Based Wind,Chateaugay Wind Farm,1037,,,,,Clinton,Completed,10,12920,NY,215058,106.5,2023-01-20T00:00:00.000,101.2,POINT (-74.08016 44.92649),,,,,2009,North Country,North,,,,,,,
,14.85,182590,Non-Tier 1,Land Based Wind,Bliss,1037,,,,,Wyoming,Completed,10,14024,NY,191720,100.5,2023-01-20T00:00:00.000,95.5,POINT (-78.2584 42.59483),,,,,2008,Finger Lakes,Genesee,,,,,323608,,
,39.95,40894,Non-Tier 1,Land Based Wind,Black Oak,2554,New,,,,Tompkins,Cancelled,10,14867,NY,40894,12.6,2023-01-20T00:00:00.000,11.97,POINT (-76.59918 42.35949),,,,,,Southern Tier,Central,,,,,,,
,19.2,59743,Non-Tier 1,Land Based Wind,Bear Creek,916,,,,,Allegany,Completed,4,18101,PA,68704,22,2023-01-20T00:00:00.000,,POINT (-75.47027 40.60263),,,,,2006,Western New York,Central,,,,,,,
,17.55,179316,Non-Tier 1,Land Based Wind,Altona,1037,,,,,Clinton,Completed,10,12910,NY,188282,102,2023-01-20T00:00:00.000,96.9,POINT (-73.65582 44.88942),,,,,2009,North Country,North,,,,,323606,,
,,174520,Tier 1,Solar,York Run Solar,RESRFP21-1,New,"York Run Solar, LLC",CS Energy,,Chautauqua,Under Development,20,14701,NY,209424,90,2023-01-20T00:00:00.000,90,POINT (-79.2378 42.09605),ORES,,,,2025,Western New York,West,,"1,151",,,,,
,,299886,Tier 1,Solar,Yellow Barn Solar,RESRFP21-1,New,"Yellow Barn Solar, LLC",CS Energy,,Tompkins,Under Development,20,14882,NY,359863,160,2023-01-20T00:00:00.000,160,POINT (-76.49891 42.53468),ORES,,,,2025,Southern Tier,Central,,"1,009",,,,,
,,106784,Tier 1,Solar,Watkins Glen Solar Energy Center,RESRFP18-1,New,"Watkins Glen Solar Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01069,Schuyler,Under Development,20,14891,NY,128140,50,2023-01-20T00:00:00.000,50,POINT (-76.87373 42.38107),ORES,,,,2024,Southern Tier,Central,67.2,617,,,,,
,,156629,Tier 1,Solar,Trelina Solar Energy Center,RESRFP18-1,New,Trelina Energy Center LLC,NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=59765&MNO=19-F-0366,Seneca,Under Development,20,13165,NY,187954,80,2023-01-20T00:00:00.000,80,POINT (-76.8627 42.89895),Article 10,,,,2024,Finger Lakes,Central,67.52,720,,,,,
,,236634,Tier 1,Solar,Tracy Solar Energy Center,RESRFP20-1,New,"Tracy Solar Energy Center, LLC",EDF Renewables Development,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00962,Jefferson,Under Development,20,13656,NY,283960,119,2023-01-20T00:00:00.000,119,POINT (-75.96182 44.19682),ORES,20,5,,2025,North Country,Mohawk Valley,60.69,774,,,,,
,,41700,Tier 1,Solar,Stern Solar,RESRFP21-1,New,"Stern Solar, LLC",CS Energy,,Rensselaer,Under Development,20,12154,NY,50040,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.58644 42.89705),SEQR,,,,2025,Capital Region,Capital,,"1,198",,,,,
,,37649,Tier 1,Solar,Somers Solar,RESRFP20-1,New,"Somers Solar, LLC",CS Energy,,Washington,Under Development,20,12828,NY,45179,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.58658 43.26888),SEQR,,,,2025,Capital Region,Capital,61.45,"1,015",,,,,
,,665322,Tier 1,Solar,Ridge View Solar Energy Center,RESRFP21-1,New,"Ridge View Solar Energy Center, LLC",EDF Renewables Development,,Niagara,Under Development,20,14094,NY,798386,350,2023-01-20T00:00:00.000,350,POINT (-78.69511 43.16926),ORES,80,20,,2025,Western New York,West,,859,,,,,
,,456221,Tier 1,Solar,Rich Road Solar Energy Center,RESRFP21-1,New,"Rich Road Solar Energy Center, LLC",EDF Renewables Development,https://orespermits.ny.gov/Public/MatterManagement/CaseMaster.aspx?MatterSeq=64955&MNO=22-00031,St Lawrence,Under Development,20,13617,NY,547465,240,2023-01-20T00:00:00.000,240,POINT (-75.16983 44.59994),ORES,80,20,,2025,North Country,Mohawk Valley,,800,,,,,
,,33271,Tier 1,Solar,Puckett Solar,RESRFP17-1,New,"Puckett Solar, LLC",MN8 Energy,,Chenango,Operational,20,13746,NY,39925,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.84875 42.23408),SEQR,,,,2022,Southern Tier,Central,78.08,775,,,323809,,
,,40503,Tier 1,Solar,Pattersonville,RESRFP17-1,New,Pattersonville Solar Facility LLC,MN8 Energy,,Schenectady,Under Development,20,12137,NY,48603,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.07787 42.88896),SEQR,,,,2023,Capital Region,Capital,74.55,638,,,,,
,19.97,367394,Tier 1,Solar,North Side Energy Center,RESRFP19-1,New,"North Side Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0598&submit=Search,St Lawrence,Under Development,20,13662,NY,440872,180,2023-01-20T00:00:00.000,180,POINT (-74.89298 44.93182),Article 10,,,,2024,North Country,North,,620,,,,,
,,319920,Tier 1,Solar,Morris Ridge Solar,RESRFP18-1,New,"Morris Ridge Solar Energy Center, LLC",EDF Renewables Development,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00025,Livingston,Under Development,20,14510,NY,383904,177,2023-01-20T00:00:00.000,177,POINT (-77.8741 42.72573),ORES,,,,2024,Finger Lakes,Central,72.06,717,,,,,
,,183568,Tier 1,Solar,Moraine Solar Energy Center,RESRFP20-1,New,Moraine Solar Energy LLC,EDF Renewables Development,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-00024,Allegany,Under Development,20,14807,NY,220281,93.55,2023-01-20T00:00:00.000,93.55,POINT (-77.69597 42.39454),ORES,20,5,,2025,Western New York,Central,58.83,716,,,,,
,,200321,Tier 1,Solar,Mohawk Solar,RESRFP18-1,New,Mohawk Solar LLC,Avangrid Renewables,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0182,Montgomery,Under Development,20,13317,NY,240385,90.5,2023-01-20T00:00:00.000,90.5,POINT (-74.57167 42.90692),Article 10,,,,2024,Mohawk Valley,Capital,65.39,495,,,,,
,,33096,Tier 1,Solar,Martin Rd Solar,RESRFP19-1,New,"Martin Rd Solar, LLC",Olivewood Energy Development,,Cattaraugus,Under Development,20,14101,NY,39715,19.99,2023-01-20T00:00:00.000,19.99,POINT (-78.49038 42.4241),SEQR,,,,2024,Western New York,West,68.8,666,,,,,
