p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,installed_energy_storage_energy_capacity_mwhac,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_7
,23,35022,Tier 1,Solar,Magruder Solar,RESRFP17-1,New,"Magruder Solar, LLC",CS Energy,,Ulster,Cancelled,20,12525,NY,42026,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.1512 41.67999),SEQR,,,,,Mid-Hudson,Hudson Valley,,744,,,,,
,19.5,2039,Tier 1,Solar,Java Solar Energy Center,RESRFP17-1,New,Java Energy LLC,Invenergy,,Wyoming,Cancelled,20,14009,NY,2446,1.53,2023-01-20T00:00:00.000,1.53,POINT (-78.42825 42.53383),SEQR,,,,,Finger Lakes,West,,"12,380",,,,,
,,35898,Tier 1,Solar,Janis Solar,RESRFP17-1,New,"Janis Solar, LLC",MN8 Energy,,Cortland,Under Development,20,13040,NY,43077,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.89576 42.54157),SEQR,,,,2022,Central New York,Central,75.91,768,,,,,
,,168718,Tier 1,Solar,Homer Solar Energy Center,RESRFP20-1,New,"Homer Solar Energy Center, LLC",EDF Renewables Development,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00976,Cortland,Under Development,20,13045,NY,202461,90,2023-01-20T00:00:00.000,90,POINT (-76.17484 42.60348),ORES,,,,2025,Central New York,Central,59.96,276,,,,,
,,167141,Tier 1,Solar,High River Energy Center,RESRFP17-1,New,"High River Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0597,Montgomery,Under Development,20,12010,NY,200569,90,2023-01-20T00:00:00.000,90,POINT (-74.18893 42.93896),Article 10,,,,2024,Mohawk Valley,Capital,69.88,618,,,,,
,,39400,Tier 1,Solar,Hawthorn Solar,RESRFP20-1,New,"Hawthorn Solar, LLC",CS Energy,,Rensselaer,Under Development,20,12090,NY,47280,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.34957 42.90196),SEQR,,,,2025,Capital Region,Capital,60.45,832,,,,,
,,33972,Tier 1,Solar,Grissom Solar,RESRFP17-1,New,"Grissom Solar, LLC",MN8 Energy,,Montgomery,Under Development,20,12095,NY,40766,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.36846 43.00655),SEQR,,,,2023,Mohawk Valley,Capital,81.05,682,,,,,
,21.5,453768,Tier 1,Solar,Garnet Energy Center Storage 1,RESRFP19-1,New,"Garnet Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-F-0043,Cayuga,Under Development,20,13140,NY,544521,200,2023-01-20T00:00:00.000,200,POINT (-76.62291 43.03722),Article 10,80,20,,2024,Central New York,Genesee,,883,,,,,
,,174412,Tier 1,Solar,Flint Mine Solar,RESRFP17-1,New,"Flint Mine Solar, LLC",D. E. Shaw Renewable Investments,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=18-F-0087,Greene,Under Development,20,12051,NY,209294,100,2023-01-20T00:00:00.000,100,POINT (-73.80015 42.34806),Article 10,,,,2024,Capital Region,Hudson Valley,88.64,637,,,,,
,,591615,Tier 1,Solar,Excelsior Energy Center - Solar + Storage 2,RESRFP18-1,New,"Excelsior Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=19-F-0299,Genesee,Under Development,20,14422,NY,709938,280,2023-01-20T00:00:00.000,280,POINT (-78.06382 43.07967),Article 10,80,20,,2024,Finger Lakes,Genesee,66.3,721,,,,,
,,32396,Tier 1,Solar,ELP Stillwater Solar,RESRFP18-1,New,ELP Stillwater Solar LLC,MN8 Energy,,Saratoga,Under Development,20,12118,NY,38875,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.68506 42.90448),SEQR,,,,2023,Capital Region,Capital,75.32,735,,,,,
,,109631,Tier 1,Solar,East Point Energy Center,RESRFP17-1,New,"East Point Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-f-0599,Schoharie,Under Development,20,13459,NY,131557,50,2023-01-20T00:00:00.000,50,POINT (-74.61722 42.79531),Article 10,,,,2023,Mohawk Valley,Capital,78.68,619,,,,,
,,40276,Tier 1,Solar,Dolan Solar,RESRFP20-1,New,"Dolan Solar, LLC",CS Energy,,Washington,Under Development,20,12828,NY,48331,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.58658 43.26888),SEQR,,,,2025,Capital Region,Capital,59.85,833,,,,,
,,36774,Tier 1,Solar,Darby Solar,RESRFP17-1,New,"Darby Solar, LLC",MN8 Energy,,Washington,Under Development,20,12154,NY,44128,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.58644 42.89705),SEQR,,,,2023,Capital Region,Capital,76.57,730,,,,,
,,646926,Tier 1,Solar,Columbia Solar Energy Center,RESRFP21-1,New,"Columbia Solar Energy Center, LLC",EDF Renewables Development,,Herkimer,Under Development,20,13357,NY,776311,350,2023-01-20T00:00:00.000,350,POINT (-75.04217 43.0184),ORES,80,20,,2025,Mohawk Valley,Mohawk Valley,,857,,,,,
,14.98,47402,Non-Tier 1,Biogas - LFG,Community Refuse LFG,2389,,,,,,Completed,10,17257,PA,47402,6.4,2023-01-20T00:00:00.000,6.08,POINT (-77.51692 40.05194),,,,,2012,,,,,,,,,
,,27703,Tier 1,Solar,Bakerstand Solar 1,RESRFP18-1,New,Bakerstand Solar LLC,Olivewood Energy Development,,Cattaraugus,Under Development,20,14737,NY,33243,19.99,2023-01-20T00:00:00.000,19.99,POINT (-78.4578 42.33745),SEQR,,,,2024,Western New York,West,71.31,667,,,,,
,30,4750,Non-Tier 1,Biogas - ADG,Niagara BioEnergy,2554,New,,,,Niagara,Operational,10,14304,NY,4750,0.85,2023-01-20T00:00:00.000,0.81,POINT (-78.96669 43.08191),,,,,2019,Western New York,West,,,,,,,
,8,4075,Tier 2,Hydroelectric,Talcville,T2RFP21-1,,Erie Boulevard Hydropower LP,Brookfield Renewable Trading and Marketing LP,,St Lawrence,Operational,3,13635,NY,4075,,2023-01-20T00:00:00.000,1.1,POINT (-75.24961 44.32655),,,,,2021,North Country,Mohawk Valley,,,,,,,
,7.97,53598,Tier 2,Hydroelectric,Moose River Hydro,T2RFP21-1,,EONY Generation Limited,EONY Generation Limited,,Lewis,Operational,3,13368,NY,53598,,2023-01-20T00:00:00.000,12.2,POINT (-75.36537 43.61971),,,,,2021,North Country,Mohawk Valley,,,,,,,
,7.4,2693,Tier 2,Hydroelectric,Baldwinsville,T2RFP21-1,,Erie Boulevard Hydropower LP,Brookfield Renewable Trading and Marketing LP,,Onondaga,Operational,3,13027,NY,2693,,2023-01-20T00:00:00.000,0.6,POINT (-76.33276 43.15867),,,,,2021,Central New York,Central,,,,,,,
,,33446,Tier 1,Solar,West River Solar,RESRFP19-1,New,West River Solar LLC,Boralex,,Saratoga,Under Development,20,12831,NY,40135,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.65232 43.19646),SEQR,,,,2024,Capital Region,Capital,65.18,"1,165",,,,,
,,36248,Tier 1,Solar,Sky High Solar,RESRFP17-1,New,"Sky High Solar, LLC",Boralex,,Onondaga,Under Development,20,13159,NY,43497,19.99,2023-01-20T00:00:00.000,19.99,POINT (-76.10971 42.79814),SEQR,,,,2024,Central New York,Central,74.06,545,,,,,
,,40296,Tier 1,Solar,Scotch Ridge Solar,RESRFP21-1,New,"Scotch Ridge Solar, LLC",Nexamp,,Schenectady,Under Development,20,12056,NY,48355,20,2023-01-20T00:00:00.000,20,POINT (-74.13576 42.76111),SEQR,,,,2024,Capital Region,Capital,,"1,227",,,,,
,,37649,Tier 1,Solar,Sandy Creek Solar,RESRFP19-1,New,Sandy Creek Solar LLC,Boralex,,Jefferson,Under Development,20,13605,NY,45178,19.99,2023-01-20T00:00:00.000,19.99,POINT (-76.02364 43.81029),SEQR,,,,2024,North Country,Mohawk Valley,66.51,843,,,,,
,,208516,Tier 1,Solar,Rutland Center Solar 1,RESRFP20-1,New,"Rutland Center Solar 1, LLC",Borrego Solar Systems,,Jefferson,Under Development,20,13601,NY,250219,110.2,2023-01-20T00:00:00.000,110.2,POINT (-75.91428 43.97586),ORES,,,,2025,North Country,Mohawk Valley,51.17,"1,077",,,,,
,,39397,Tier 1,Solar,Roosevelt Solar,RESRFP21-1,New,ReneSola Power Holdings LLC,ReneSola Ltd.,,St Lawrence,Under Development,20,13662,NY,47276,19.9,2023-01-20T00:00:00.000,19.9,POINT (-74.89298 44.93182),SEQR,8,2,,2025,North Country,North,,"1,212",,,,,
,,244842,Tier 1,Solar,Newport Solar Farm,RESRFP21-1,New,Newport Deerfield Solar LLC,Boralex,,Oneida,Under Development,20,13502,NY,293810,130,2023-01-20T00:00:00.000,130,POINT (-75.24245 43.10124),ORES,,,,2026,Mohawk Valley,Mohawk Valley,,"1,178",,,,,
,,86198,Tier 1,Solar,Moss Ridge Solar,RESRFP21-1,New,"Moss Ridge Solar 1, LLC",Borrego Solar Systems,,St Lawrence,Under Development,20,13681,NY,103437,60,2023-01-20T00:00:00.000,60,POINT (-75.39336 44.41561),ORES,,,,2026,North Country,Mohawk Valley,,"1,150",,,,,
,,194472,Tier 1,Solar,Greens Corners Solar,RESRFP19-1,New,Greens Corners Solar LLC,Boralex,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00982&CaseSearch=Search,Jefferson,Under Development,20,13601,NY,233366,120,2023-01-20T00:00:00.000,120,POINT (-75.91428 43.97586),ORES,,,,2024,North Country,Mohawk Valley,64.21,864,,,,,
,,192720,Tier 1,Solar,Fort Edward Solar Farm,RESRFP21-1,New,Fort Edward Solar LLC,Boralex,,Washington,Under Development,20,12828,NY,231264,100,2023-01-20T00:00:00.000,100,POINT (-73.58658 43.26888),ORES,,,,2025,Capital Region,Capital,,"1,042",,,,,
,,473040,Tier 1,Solar,Fort Covington Solar Farm,RESRFP21-1,New,Fort Covington Solar LLC,Boralex,,Franklin,Under Development,20,12937,NY,567648,250,2023-01-20T00:00:00.000,250,POINT (-74.49412 44.98874),ORES,308,77,,2026,North Country,North,,"1,183",,,,,
,,75336,Tier 1,Solar,Foothills Solar Farm,RESRFP21-1,New,Foothills Solar LLC,Boralex,,Fulton,Under Development,20,12117,NY,90403,40,2023-01-20T00:00:00.000,40,POINT (-74.26411 43.10464),ORES,,,,2026,Mohawk Valley,Capital,,"1,182",,,,,
,,36798,Tier 1,Solar,ELP Ticonderoga Solar,RESRFP19-1,New,ELP Ticonderoga Solar LLC,East Light Partners,,Essex,Under Development,20,12883,NY,44157,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.42423 43.84879),SEQR,,,,2024,North Country,Capital,72.19,734,,,,,
,,35898,Tier 1,Solar,ELP Stuyvesant Solar,RESRFP21-1,New,ELP Stuyvesant Solar LLC,East Light Partners,,Columbia,Under Development,20,12173,NY,43077,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.78433 42.3879),SEQR,,,,2024,Capital Region,Capital,,"1,171",,,,,
,,41327,Tier 1,Solar,ELP Rotterdam Solar,RESRFP21-1,New,ELP Rotterdam Solar LLC,East Light Partners,,Schenectady,Under Development,20,12137,NY,49592,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.07787 42.88896),SEQR,,,,2024,Capital Region,Capital,,"1,038",,,,,
,,38369,Tier 1,Solar,Easton Solar Farm,RESRFP21-1,New,Easton Solar LLC,Boralex,,Washington,Under Development,20,12834,NY,46042,20,2023-01-20T00:00:00.000,20,POINT (-73.49696 43.08752),SEQR,,,,2024,Capital Region,Capital,,"1,035",,,,,
,,33446,Tier 1,Solar,Bald Mountain Solar,RESRFP19-1,New,Bald Mountain Solar LLC,Boralex,,Washington,Under Development,20,12834,NY,40135,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.49696 43.08752),SEQR,,,,2024,Capital Region,Capital,65.1,853,,,,,
,,37106,Tier 1,Solar,Tayandenega Solar,RESRFP17-1,New,"Tayandenega Solar, LLC",Greenbacker Renewable Energy Corporation,,Montgomery,Under Development,20,13452,NY,44527,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.67843 42.99876),SEQR,,,,2024,Mohawk Valley,Capital,72.61,565,,,,,
,,37999,Tier 1,Solar,SunEast Watkins Road Solar,RESRFP18-1,New,SunEast Watkins Solar 1 LLC,SunEast Development LLC,,Herkimer,Under Development,20,13340,NY,45598,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.07407 43.03638),SEQR,,,,2024,Mohawk Valley,Mohawk Valley,66.87,586,,,,,
,,37124,Tier 1,Solar,SunEast Valley Solar,RESRFP19-1,New,SunEast Valley Solar LLC,SunEast Development LLC,,Tioga,Under Development,20,13827,NY,44548,19.99,2023-01-20T00:00:00.000,19.99,POINT (-76.26213 42.10271),SEQR,,,,2024,Southern Tier,Central,63.07,828,,,,,
,,35548,Tier 1,Solar,Regan Solar,RESRFP17-1,New,"Regan Solar, LLC",MN8 Energy,,Montgomery,Operational,20,12068,NY,42657,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.3745 42.95452),SEQR,,,,2023,Mohawk Valley,Capital,79.18,748,,,323812,,
,,41502,Tier 1,Solar,SunEast Transit Solar,RESRFP20-1,New,SunEast Transit Solar LLC,SunEast Development LLC,,Genesee,Under Development,20,14143,NY,49802,19.99,2023-01-20T00:00:00.000,19.99,POINT (-78.07349 42.98365),SEQR,,,,2025,Finger Lakes,West,59.25,"1,051",,,,,
,,145066,Tier 1,Solar,SunEast Tabletop Solar,RESRFP19-1,New,SunEast Tabletop Solar LLC,SunEast Development LLC,,Montgomery,Under Development,20,13339,NY,174079,80,2023-01-20T00:00:00.000,80,POINT (-74.62332 42.93068),ORES,,,,2024,Mohawk Valley,Capital,60.4,869,,,,,
,,35022,Tier 1,Solar,SunEast Skyline Solar,RESRFP18-1,New,SunEast Skyline Solar LLC,SunEast Development LLC,,Oneida,Under Development,20,13476,NY,42026,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.53942 43.07951),SEQR,,,,2024,Mohawk Valley,Mohawk Valley,68.64,670,,,,,
,,32167,Tier 1,Solar,SunEast Scipio Solar,RESRFP21-1,New,,SunEast Development LLC,,Cayuga,Under Development,20,13147,NY,38600,18,2023-01-20T00:00:00.000,18,POINT (-76.55886 42.78334),SEQR,,,,2024,Central New York,Central,,590,,,,,
,,40223,Tier 1,Solar,SunEast Manchester Solar,RESRFP18-1,New,SunEast Manchester Solar LLC,SunEast Development LLC,,Ontario,Under Development,20,14432,NY,48267,19.99,2023-01-20T00:00:00.000,19.99,POINT (-77.13883 42.9615),SEQR,,,,2025,Finger Lakes,Central,67.41,722,,,,,
,,36073,Tier 1,Solar,SunEast Limestone Solar,RESRFP19-1,New,SunEast Limestone Solar LLC,SunEast Development LLC,,Fulton,Under Development,20,12070,NY,43287,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.23969 42.95709),SEQR,,,,2024,Mohawk Valley,Capital,63.72,806,,,,,
,,38875,Tier 1,Solar,SunEast Kingbird Solar,RESRFP20-1,New,SunEast Kingbird Solar LLC,SunEast Development LLC,,Chautauqua,Under Development,20,14048,NY,46650,19.99,2023-01-20T00:00:00.000,19.99,POINT (-79.33578 42.48724),SEQR,,,,2025,Western New York,West,59.35,"1,098",,,,,
,,38175,Tier 1,Solar,SunEast Hilltop Solar,RESRFP19-1,New,SunEast Hilltop Solar LLC,SunEast Development LLC,,Rensselaer,Under Development,20,12154,NY,45810,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.58644 42.89705),SEQR,,,,2024,Capital Region,Capital,64.35,807,,,,,
,,37999,Tier 1,Solar,SunEast Hills Solar,RESRFP18-1,New,SunEast Hills Solar LLC,SunEast Development LLC,,Herkimer,Under Development,20,13365,NY,45598,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.85884 43.04079),SEQR,,,,2024,Mohawk Valley,Mohawk Valley,66.67,581,,,,,
,,31361,Tier 1,Solar,SunEast Highview Solar,RESRFP19-1,New,SunEast Highview Solar LLC,SunEast Development LLC,,Wyoming,Under Development,20,14530,NY,37633,20,2023-01-20T00:00:00.000,20,POINT (-78.0055 42.71961),SEQR,,,,2024,Finger Lakes,West,63.38,591,,,,,
,,36949,Tier 1,Solar,SunEast Grassy Knoll Solar,RESRFP19-1,New,SunEast Grassy Knoll Solar LLC,SunEast Development LLC,,Herkimer,Under Development,20,13365,NY,44338,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.85884 43.04079),SEQR,,,,2024,Mohawk Valley,Mohawk Valley,63.58,885,,,,,
,,38175,Tier 1,Solar,SunEast Flat Stone Solar,RESRFP20-1,New,SunEast Flat Stone Solar LLC,SunEast Development LLC,,Oneida,Under Development,20,13478,NY,45810,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.57247 43.14021),SEQR,,,,2025,Mohawk Valley,Mohawk Valley,62.5,"1,000",,,,,
,,36423,Tier 1,Solar,SunEast Flat Hill Solar,RESRFP19-1,New,SunEast Flat Hill Solar LLC,SunEast Development LLC,,Herkimer,Under Development,20,13365,NY,43707,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.85884 43.04079),SEQR,,,,2024,Mohawk Valley,Mohawk Valley,63.72,865,,,,,
,,415224,Tier 1,Solar,SunEast Flat Creek Solar,RESRFP20-1,New,SunEast Flat Creek Solar LLC,SunEast Development LLC,,Montgomery,Under Development,20,12166,NY,498269,200,2023-01-20T00:00:00.000,200,POINT (-74.51427 42.89135),ORES,,,,2026,Mohawk Valley,Capital,55.95,"1,089",,,,,
,,193596,Tier 1,Solar,SunEast Flat Creek II Solar,RESRFP21-1,New,SunEast Flat Creek Solar LLC,SunEast Development LLC,,Montgomery,Under Development,20,12166,NY,232315,100,2023-01-20T00:00:00.000,100,POINT (-74.51427 42.89135),ORES,,,,2024,Mohawk Valley,Capital,,"1,115",,,,,
,,36248,Tier 1,Solar,SunEast Fairway Solar,RESRFP19-1,New,SunEast Fairway Solar LLC,SunEast Development LLC,,St Lawrence,Under Development,20,13669,NY,43497,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.48994 44.69424),SEQR,,,,2024,North Country,Mohawk Valley,62.85,848,,,,,
,,37999,Tier 1,Solar,SunEast Dog Corners Solar,RESRFP18-1,New,SunEast Dog Corners Solar LLC,SunEast Development LLC,,Cayuga,Under Development,20,13026,NY,45598,19.99,2023-01-20T00:00:00.000,19.99,POINT (-76.70294 42.75771),SEQR,,,,2024,Central New York,Central,67.13,584,,,,,
,18.45,35022,Tier 1,Solar,SunEast Clay Solar,RESRFP18-1,New,SunEast Clay Solar LLC,SunEast Development LLC,,Oswego,Cancelled,20,13042,NY,42026,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.8799 43.23297),SEQR,,,,2023,Central New York,Central,,669,,,,,
,,39225,Tier 1,Solar,SunEast Augustus Solar,RESRFP20-1,New,SunEast Augustus Solar LLC,SunEast Development LLC,,Oneida,Under Development,20,13425,NY,47070,19.99,2023-01-20T00:00:00.000,19.99,POINT (-75.46093 42.93909),SEQR,,,,2025,Mohawk Valley,Mohawk Valley,59.8,935,,,,,
,,404449,Tier 1,Solar,South Ripley Solar and Storage,RESRFP19-1,New,ConnectGen Chautauqua County LLC,ConnectGen,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00750,Chautauqua,Under Development,20,14775,NY,485338,270,2023-01-20T00:00:00.000,270,POINT (-79.71066 42.2668),ORES,80,20,,2025,Western New York,West,66.95,783,,,,,
,,38200,Tier 1,Solar,Silver Lake Solar Project,RESRFP18-1,New,Silver Lake Solar LLC,AES Corporation,,Wyoming,Under Development,20,14530,NY,45840,24.99,2023-01-20T00:00:00.000,24.99,POINT (-78.0055 42.71961),SEQR,,,,2024,Finger Lakes,Central,75.12,629,,,,,
,,33884,Tier 1,Solar,Rock District Solar,RESRFP17-1,New,"Rock District Solar, LLC",Greenbacker Renewable Energy Corporation,,Schoharie,Under Development,20,12043,NY,40660,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.48317 42.6782),SEQR,,,,2024,Mohawk Valley,Capital,76.2,564,,,,,
,22.5,32184,Tier 1,Solar,Rising Solar,RESRFP17-1,New,Rising Solar LLC,"National Grid Renewables, LLC",,Orange,Cancelled,20,10990,NY,38619,20,2023-01-20T00:00:00.000,20,POINT (-74.35825 41.25848),SEQR,,,,2020,Mid-Hudson,Hudson Valley,,,,,,,
,,197100,Tier 1,Solar,Mill Point Solar 2,RESRFP21-1,New,ConnectGen Montgomery County LLC,ConnectGen,,Montgomery,Under Development,20,12072,NY,236520,100,2023-01-20T00:00:00.000,100,POINT (-74.37026 42.94801),ORES,,,,2026,Mohawk Valley,Mohawk Valley,,"1,031",,,,,
,,497130,Tier 1,Solar,Mill Point Solar,RESRFP20-1,New,ConnectGen Montgomery County LLC,ConnectGen,,Montgomery,Under Development,20,12072,NY,596556,250,2023-01-20T00:00:00.000,250,POINT (-74.37026 42.94801),ORES,,,,2026,Mohawk Valley,Mohawk Valley,44.55,"1,031",,,,,
,,37649,Tier 1,Solar,Little Pond Solar,RESRFP17-1,New,"Little Pond Solar, LLC",Greenbacker Renewable Energy Corporation,,Orange,Under Development,20,12780,NY,45178,19.99,2023-01-20T00:00:00.000,19.99,POINT (-74.72882 41.40325),SEQR,,,,2024,Mid-Hudson,Hudson Valley,81.97,575,,,,,
,,368971,Tier 1,Solar,Horseshoe Solar,RESRFP18-1,New,Horseshoe Solar Energy LLC,Invenergy,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02480,Livingston,Under Development,20,14423,NY,442765,180,2023-01-20T00:00:00.000,180,POINT (-77.8533 42.97389),ORES,,,,2025,Finger Lakes,Genesee,70.57,710,,,,,
,,394200,Tier 1,Solar,Harvest Hills Solar (Formerly Milliken Solar),RESRFP20-1,New,ConnectGen Cayuga County LLC,ConnectGen,,Cayuga,Under Development,20,13071,NY,473040,200,2023-01-20T00:00:00.000,200,POINT (-76.53868 42.66918),ORES,,,,2026,Central New York,Central,47.7,"1,088",,,,,
,,202356,Tier 1,Solar,Harvest Hills Solar 2,RESRFP21-1,New,ConnectGen Cayuga County LLC,ConnectGen,,Cayuga,Under Development,20,13071,NY,242827,100,2023-01-20T00:00:00.000,100,POINT (-76.53868 42.66918),ORES,,,,2026,Central New York,Central,,"1,088",,,,,
,25,27493,Tier 1,Solar,Blue Stone Solar,RESRFP17-1,New,"Blue Stone Solar, LLC","National Grid Renewables, LLC",,Ulster,Cancelled,20,12477,NY,32991,19.99,2023-01-20T00:00:00.000,19.99,POINT (-73.95246 42.07778),SEQR,,,,2021,Mid-Hudson,Hudson Valley,,621,,,,,
,,181332,Tier 1,Solar,Bear Ridge Solar,RESRFP21-1,New,"Bear Ridge Solar, LLC","Cypress Creek Renewables, LLC",,Niagara,Under Development,20,14094,NY,217598,100,2023-01-20T00:00:00.000,100,POINT (-78.69511 43.16926),ORES,,,,2025,Western New York,West,,704,,,,,
